name,price,ram,ram_unit,rom_type,rom,rom_unit,screen_size,screen_detail,cpu,gpu,battery,weight,rating,link_href,brand,series
Lenovo Ideapad 1 15ALC7 R7 5700U (82R400C1VN),11.990.000,16,GB,SSD,512,GB,15.6,Full HD (1920 x 1080),"CPU: Ryzen 7, 5700U, 1.8GHz",Card: Radeon,Pin: 42 Wh,1.61,4.9,https://www.thegioididong.com/laptop/lenovo-ideapad-1-15alc7-r7-82r400c1vn,LENOVO,IdeaPad
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS000JVN),20.690.000,16,GB,SSD,512,GB,15.6,"Full HD (1920 x 1080), 144Hz","CPU: i5, 12450HX",Card: RTX 3050 6GB,Pin: 60 Wh,2.38,4.9,https://www.thegioididong.com/laptop/lenovo-loq-gaming-15iax9-i5-83gs000jvn,LENOVO,LOQ Gaming
Lenovo Ideapad Slim 3 15IRH8 i7 13620H (83EM003FVN),17.990.000,16,GB,SSD,1,TB,15.6,Full HD (1920 x 1080),"CPU: i7, 13620H, 2.4GHz",Card: Intel UHD,Pin: 47 Wh,1.62,4.9,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh8-i7-83em003fvn?utm_flashsale=1,LENOVO,IdeaPad
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS00D9VN),22.190.000,24,GB,SSD,512,GB,15.6,"Full HD (1920 x 1080), 144Hz","CPU: i5, 12450HX",Card: RTX 3050 6GB,Pin: 60 Wh,2.38,5.0,https://www.thegioididong.com/laptop/lenovo-loq-15iax9-i5-83gs00d9vn,LENOVO,LOQ Gaming
Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX (83LK000BVN),17.490.000,16,GB,SSD,512,GB,15.6,"Full HD (1920 x 1080), 144Hz","CPU: i5, 12450HX, 3.1GHz",Card: RTX 2050 4GB,Pin: 57Wh,1.77,5.0,https://www.thegioididong.com/laptop/lenovo-loq-15iax9e-i5-83lk000bvn,LENOVO,LOQ Gaming
Lenovo Gaming LOQ 15ARP9 R7 7435HS (83JC0040VN),26.290.000,24,GB,SSD,512,GB,15.6,"Full HD (1920 x 1080), 144Hz","CPU: Ryzen 7, 7435HS, 3.1GHz",Card: RTX 4050 6GB,Pin: 60 Wh,2.38,5.0,https://www.thegioididong.com/laptop/lenovo-loq-15arp9-r7-83jc0040vn,LENOVO,LOQ Gaming
Lenovo IdeaPad Slim 5 14IMH9 Ultra 7 155H (83DA0020VN),27.790.000,32,GB,SSD,1,TB,14.0,"WUXGA, OLED","CPU: Ultra 7, 155H, 3.8GHz",Card: Intel Arc Graphics,Pin: 57Wh,1.48,5.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-14imh9-ultra-7-83da0020vn,LENOVO,IdeaPad
Lenovo V14 G4 i7 1355U (83A00012VN),16.990.000,16,GB,SSD,512,GB,14.0,Full HD (1920 x 1080),"CPU: i7, 1355U, 1.7GHz",Card: Intel Iris Xe,Pin: 38Wh,1.43,4.9,https://www.thegioididong.com/laptop/lenovo-thinkpad-v14-i7-83a00012vn,LENOVO,V Series
Lenovo Ideapad Slim 5 16IMH9 Ultra 7 155H (83DC001SVN),26.790.000,32,GB,SSD,512,GB,16.0,"2K, OLED, 120Hz","CPU: Ultra 7, 155H, 3.8GHz",Card: Intel Arc Graphics,Pin: 57Wh,1.82,5.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-16imh9-ultra-7-83dc001svn,LENOVO,IdeaPad
Lenovo Ideapad Slim 5 15IRU9 Core 5 120U (83D0000EVN),17.490.000,16,GB,SSD,512,GB,15.3,WUXGA,"CPU: Core 5, 120U, 1.4GHz",Card: Intel Graphics,Pin: 57Wh,1.79,5.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-15iru9-core-5-83d0000evn,LENOVO,IdeaPad
